Months,January,Feb,March,April,May,June,July,August,September,October,Nov,December
1973,1.580705655,36.4054964,240.1716313,690.9234126,279.8724113,954.8019034,1001.013677,2531.994141,1583.53667,782.5613571,0.113660086,20.40960588
1974,2.796738324,0.05,437.385958,922.5161396,724.9621338,787.5506238,1504.538959,146.3514431,652.317688,780.0998192,209.1892119,0.05
1975,0.05,0.05,437.385958,1071.492435,1054.102364,1097.315343,684.3822094,600.0516037,477.2512511,1534.25332,263.6433447,60.80653728
1976,0.05,26.97512466,419.3028107,383.9714202,645.9561943,1659.423848,137.2386752,40.66948176,461.7190488,1130.749146,213.5256914,0.05
1977,299.4319403,0.05,64.11320992,440.5820738,645.9561943,644.1668467,407.932099,205.9482805,724.3804113,1073.817109,0.05,0.05
1978,53.42448792,33.23979149,643.1816957,2590.888271,566.6004012,530.5041117,1155.486438,317.5632513,889.1052888,682.7667995,521.195586,0.05
1979,0.05,7.176134267,320.219783,1412.931019,929.183153,640.1618132,2155.675681,766.672427,1387.149266,780.9940643,71.51660573,0.05
1980,0.05,142.7658389,237.4527053,180.9294674,1325.72416,601.0949595,1142.641303,2425.293875,1213.023625,963.3861051,284.6615413,0.05
1981,0.05,15.46152492,304.5523692,411.2236438,717.6608775,1121.165769,947.3337553,144.4133419,1496.114281,694.1099871,0.05,0.05
1982,2.144394065,178.6166663,515.5905875,418.2116823,481.2797806,789.8408384,665.8111869,440.99552,250.6867956,367.0155443,28.06586908,0.05
1983,0.05,8.091642855,6.015044556,482.9287869,2025.865553,797.6031507,564.4755482,137.2308047,669.0804662,150.386529,120.5532696,631.1833658
1984,0.05,4.665263577,486.6758845,278.4490504,1779.660417,615.3263173,458.5971451,1563.870504,986.4852173,500.1401056,395.9075525,0.081830043
1985,0.785365253,0.140655158,790.1895535,767.5537734,945.8626607,1080.280485,3000.8348,1215.288871,1554.841676,909.6126949,191.9996892,1.08
1986,4.264013648,248.8630595,632.9101418,462.8693955,1051.159597,1695.12117,766.4509299,92.66345091,1474.262421,890.1728738,0.340025033,0.05
1987,33.38014666,25.69545104,786.8433144,388.0287857,625.320258,1921.903305,1164.305502,1764.661804,3171.452889,1690.561789,0.05,0.113660086
1988,0.217220809,166.1828101,649.7881642,1007.020174,486.6925724,2163.544231,1038.014607,357.9774545,1974.737571,1709.43567,57.24981725,35.41368936
